Prod Numb,Product Code,Description,Actv,Allerg 1,Allerg 2,Allerg 3,Allerg 4,Allerg 5,Allerg 6,Allerg 7,Allerg 8,Allerg 9
="00240",SERLACFRESH,LX - INSURANCE CLAIM,Y
="00241",SERSTPFRESH,SP - INSURANCE CLAIM,Y
="00242",SERIGHFRESH,IGH - INSURANCE CLAIM,Y
="00243",SEREAGFRESH,CM - INSURANCE CLAIM,Y
="00244",SERPUEFRESH,PB - INSURANCE CLAIM,Y
="00246",="31858",Straw bale,N
="00247",SUPASNVIN,LH SESAME GINGER DRESSING CUP     1.5 OZ,N
="00248",SUPCARMCUP2,JIMMY'S CARAMEL CUP                 2 OZ,N,MILK
="00249",TEST4,Test normal pick,N
="00250",SUPRPC8.3,RPC 23.6X15.75X8.3 BLACK TRAY,N
="00251",SUPRPC11,RETURNABLE CRATE                   LARGE,N
="00252",SUPRPC5.2,RPC 23.6X15.75X5.2 BLACK TRAY,N
="00253",SUPDRYCILN1,DRIED CILANTRO                      1 OZ,Y
="00254",SUPLEMONPEP1,LEMON PEPPER                        1 OZ,Y
="00255",TEST23,TEST FINISHED REPACK,N
="00256",SUPPJCOLESLW,PJ COLESLAW                         1 OZ,N,MILK
="00257",SUPCTLDFL131,MATRIX: 11X3000 (PSS113002CF)     1 FOOT,Y
="00258",SUPCORNROASF,FIRE ROASTED CORN                   1 OZ,N
="00259",SUPLHCOLESLA,*LH COLESLAW DRESSING               1 OZ,N,MILK
="00260",CUTTUBRDPSO,TUB RED PEPPER SOUP STARTER         1 LB,N
="00261",SUPYELLMUSTA,MUSTARD WHOLE GRAIN                 1 OZ,Y
="00262",SUPPICKRELIS,SWEET PICKLE RELISH                 1 OZ,N
="00263",SUPRDWINVIND,RED WINE VINEGAR DRESSING           1 OZ,N
="00264",SUPWHVINEGAR,WHITE VINEGAR                       1 OZ,N
="00265",SUPGARLICPOW,CHILI POWDER                        1 OZ,Y
="00266",SUPDILLDRIED,DILL DRIED                          1 OZ,Y
="00267",SUPREDCALOMA,TUMERIC GROUND                      1 OZ,Y
="00268",SUPLHITALDRE,PEPPER RED FLAKE                    1 OZ,Y
="00269",SUPCASHEWNUT,CASHEW                              1 OZ,Y
="00270",SUPSUNDRTOMA,SUNDRIED TOMATOES                   1 OZ,N
="00271",SUPREDQUINOA,RED QUINOA                          1 OZ,N
="00272",SUPCRANBERRY,DRIED CRANBERRIES PORTION CUP    0.75 OZ,Y
="00273",SUPSHAVPARME,SHAVED PARMESEAN (NBH)              1 OZ,N
="00274",SUPPRETSTICK,PRETZEL STICKS                      1 OZ,N
="00275",SUPPOMBLUDR,LH BLUEBERRY POMEGRANATE DRES  60/1.5 OZ,N
="00276",SUPSLICEDALM,WHOLE ALMONDS PORTION CUP         0.9 OZ,Y,ALMOND
="00277",SUPGRPARM1OZ,GRATED PARMESAN CHEESE (NBH)        1 OZ,N
="00278",SUPBLK2STRY1,TRAY 12S BLACK FOAM                 1 CT,Y
="00279",SUPBLK#1TRY1,TRAY 1 BLACK FOAM                   1 CT,Y
="00280",SUP2BLKTRY1,TRAY 2P BLACK FOAM                  1 CT,N
="00281",SUP#14BKTRY1,TRAY 8 BLACK FOAM                   1 CT,N
="00282",SUP10BLKTRY1,TRAY 10P BLACK FOAM             500/CASE,Y
="00283",SUP#4TRYBLK1,TRAY 4P BLACK FOAM              500/CASE,Y
="00284",SUPF14BKTRY1,(FOAM14BLACK) 6X6 BLKFOAM TRAY      1 CT,N
="00285",SUP#4COMPTAN,#4P TAN COMPOSTABLE TRAY           1 CT,N
="00286",SUP#1COMPTAN,#1P TAN COMPOSTABLE TRAY           1 CT,N
="00287",SUP14SCOMPST,14S COMPOSTABLE                     1 CT,N
="00288",SUP4DCOMPOST,4-D COMPOSTABLE                     1 CT,N
="00289",SUPMUENSTCHE,MUENSTER CHEESE                     1 OZ,N
="00290",SUPVERCHEDCH,VERMONT CHEDDAR CHEESE              1 OZ,N
="00291",SUPPRCP-TGYC,TANGY CITRUS DRSSING                2 OZ,N
="00292",SUPPRCP-ASES,*LH SESAME GINGER DRESSING          2 OZ,N
="00293",SUPPRCP-CRCA,GREEK VINAIGRETTE                   1 OZ,Y
="00294",SUPPRCP-CHBC,CHUNKY BLEU CHEESE DRESS 2 OZ,N
="00295",SUPPRCP-PYSD,POPPYSEED DRESSING 2 OZ.,N
="00296",SUPPRCP-RWV,RED WINE VINEGRETTE 2 OZ. CU,N
="00297",SUPPRCP-RNCH,*MARZ RANCH DRESSING CUP            2 OZ,N,MILK,EGGS
="00298",SUPCOLESLBAS,LH COLESLAW BASE,N,MILK
="00299",SUPPRCP-FRAS,FF RASPBERRY DRESSING 2 OZ.,N
="00300",SUPWOODDISPL,REWORK PALLETS                      EACH,Y
="00301",SUPCELOSHEET,10X10 CELLO SHEET H.DUTY         PK 1000,N
="00302",SUPLOADPTSLB,LH BASE POTATO SALAD LOADED         1 OZ,N,MILK
="00303",SUPPRCP-CRCR,CREAMY CAESER DRESSING 1 oz,N
="00304",SUPWOODCRTDP,WOODEN CRATE 16X12X6-1/2            EACH,N
="00305",SUPPRCP-ITDR,ITALIAN DRESSING 2 OZ CUP,N
="00306",SUPWOODCRT18,WOODEN CRATE 18X12X5                EACH,N
="00307",SUPPRCP-PPYS,POPPYSEED DRESSING CUP              1 OZ,N
="00308",SUPPRCP-HYMS,HONEY MUSTARD DRESSING 2 OZ.,N
="00309",SUPPRCP-RHDR,RANCH DRESSING 1 OZ CUP,N
="00310",SUPBCKMAT60',MERCHANDISING DISPLAY MATERIAL      EACH,Y
="00311",SUPCHICSALBA,LH CHICKEN SALAD BASE,N,EGGS
="00312",SUPPRCP-GKVN,GREEK VINEGRETTE 2 OZ CUP,N
="00313",SUPPRCP-RASP,FF RASPBERRY DRESSING 1 OZ,N
="00314",SUPPRCP-CKBL,STEAKHOUSE BLUE CHEESE DRESNG       2 OZ,N
="00315",MISCRESETCHG,MISC. BILLING FOR RESETS            EACH,N
="00316",SUPNTRSEALPK,NATURESEAL GU-7 5.2 OZ.,Y
="00317",SUPALMOSLIV,ALMOND SLICED                       1 OZ,Y,ALMOND
="00318",SUPNTRSEALGU,NATURESEAL GU-7 2.6 OZ.,N
